Specimen Collected Date,Finalized Date,Specime Source Code,Abnormal Flag,Result,Approved,Accession Number,Token,Schedule,Medical Record Number,Patient E-mail,Patient Name,Patient Address,Patient Address 2,Social Security Number,Patient Date of Birth,Patient Race,Patient Ethnicity,Patient Gender,Patient City,Location Zip Code,Patient Phone Number,id,Location Name,Location Address,Location Address 2,Location Zip Code
2020-11-12,2020-11-20,A,,Positive,True,123456,ecbec95952a88ecc6061df2d881dedfc034522d22d7d6f497d9b6bac790cc793,2021-09-11T16:22:00Z,7,development-consumer@covidtestpros.com,Ana Maria,1234 main st,studio,5555,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,1,Lauderhill,3001 NW 49th Ave Suite 301 Lauderdale Lakes,,33313
2020-11-11,2020-11-20,B,,Negative,True,123456,ecbec95952a88ecc6061df2d881dedfc107422d22d7d6f497d9b6bac790cc793,2021-09-12T03:23:00Z,7,development-consumer@covidtestpros.com,Ana Maria,1234 main st,studio,5555,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,1,Lauderhill,3001 NW 49th Ave Suite 301 Lauderdale Lakes,,33313
2020-11-12,2020-11-20,A,,Positive,True,123456,ecbec95952a88ecc6061df2daa1dedfc007422d22d7d6f497d9b6bac790cc793,2020-10-11T16:22:00Z,9,development-consumer3@covidtestpros.com,Thiago Silva,1234 main st,studio,5567,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,1,Lauderhill,3001 NW 49th Ave Suite 301 Lauderdale Lakes,,33313
2020-11-11,2020-11-20,B,,Negative,True,123456,ecbec95952a88ecc6034df2d881dedfc007422d22d7d6f497d9b6bac790cc793,2020-10-12T03:23:00Z,9,development-consumer3@covidtestpros.com,Thiago Silva,1234 main st,studio,5567,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,1,Lauderhill,3001 NW 49th Ave Suite 301 Lauderdale Lakes,,33313
2020-11-12,2020-11-20,A,,Positive,True,123456,ecbec95952a88jkh6061df2d881dedfc007422d22d7d6f497d9b6bac790cc793,2020-11-11T03:23:00Z,10,robin@gmail.com,Robin Hood,1234 main st,studio,553367,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,1,Lauderhill,3001 NW 49th Ave Suite 301 Lauderdale Lakes,,33313
2020-11-11,2020-11-20,B,,Negative,True,123456,ecbec95952a88ecc6061gf2d881dedfc007422d22d7d6f497d9b6bac790cc793,2020-11-11T03:23:00Z,10,robin@gmail.com,Robin Hood,1234 main st,studio,553367,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,1,Lauderhill,3001 NW 49th Ave Suite 301 Lauderdale Lakes,,33313
2020-11-11,2020-11-20,A,,Positive,True,123456,ecbec95952a88ecc6061df2d881dedfc007422d22d7d6f497d9b6bac790cc793,2020-11-11T03:23:00Z,10,robin@gmail.com,Robin Hood,1234 main st,studio,553367,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,1,Lauderhill,3001 NW 49th Ave Suite 301 Lauderdale Lakes,,33313
2020-11-12,2020-11-20,A,,Positive,True,123456,54bec95952a88ecc6061df2d881dedfc007422d22d7d6f497d9b6bac790cc793,2021-09-12T03:23:00Z,7,development-consumer@covidtestpros.com,Ana Maria,1234 main st,studio,5555,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,2,Hialeah,7100 W 20th Ave Suite 110 Hialeah,,33016
2020-11-11,2020-11-20,B,,Negative,True,123456,ecbec95952a88ecc6061df2d881dedfc007422d22d7d6f497d9b6bac790cc793,2021-09-12T03:23:00Z,7,development-consumer@covidtestpros.com,Ana Maria,1234 main st,studio,5555,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,2,Hialeah,7100 W 20th Ave Suite 110 Hialeah,,33016
2020-11-12,2020-11-20,A,,Positive,True,123456,ecbeb89952a88ecc6061df2d881dedfc007422d22d7d6f497d9b6bac790cc793,2020-10-11T16:22:00Z,9,development-consumer3@covidtestpros.com,Thiago Silva,1234 main st,studio,5567,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,2,Hialeah,7100 W 20th Ave Suite 110 Hialeah,,33016
2020-11-11,2020-11-20,B,,Negative,True,123456,ecbet44952a88ecc6061df2d881dedfc007422d22d7d6f497d9b6bac790cc793,2020-10-12T03:23:00Z,9,development-consumer3@covidtestpros.com,Thiago Silva,1234 main st,studio,5567,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,2,Hialeah,7100 W 20th Ave Suite 110 Hialeah,,33016
2020-11-12,2020-11-20,A,,Positive,True,123456,ecbec95952a88eww6061df2d881dedfc007422d22d7d6f497d9b6bac790cc793,2020-11-11T03:23:00Z,10,robin@gmail.com,Robin Hood,1234 main st,studio,553367,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,2,Hialeah,7100 W 20th Ave Suite 110 Hialeah,,33016
2020-11-11,2020-11-20,B,,Negative,True,123456,ecbec95952e90ecc6061df2d881dedfc007422d22d7d6f497d9b6bac790cc793,2020-11-11T03:23:00Z,10,robin@gmail.com,Robin Hood,1234 main st,studio,553367,2000-11-20,Hispanic,Black,Male,Miramar,12345,7865678134,2,Hialeah,7100 W 20th Ave Suite 110 Hialeah,,33016
